# t = 0
# x y z vof velocityx velocityy velocityz
1.830422504950000118e+01 1.830422504950000118e+01 -5.491608255792350679e-01 5.482794064244842502e-01 -5.683168167770975832e-02 1.364590463513339347e-01 -4.910442343487986250e-01
5.491267514859524113e+01 1.830422504950000118e+01 4.979522950938736203e-02 4.533254986920152163e-01 9.373740684841021242e-02 4.940487249091560229e-02 -2.454569608635540634e-01
9.152112524769049173e+01 1.830422504950000118e+01 3.553479308087242883e-01 5.493489400076887463e-01 1.630339828727804530e-01 -1.325466172801113007e-01 -1.823579531429120881e-01
1.281295753467857139e+02 1.830422504950000118e+01 3.648615978309635022e-01 5.552504129200661609e-01 1.991810636453320571e-01 -2.201791403027640592e-01 1.673962218587556894e-01
1.647380254458809645e+02 1.830422504950000118e+01 -4.446028316262531366e-01 5.194562089974670283e-01 -2.616932234409578006e-01 7.170588038176189949e-02 1.071516352086558377e-01
2.013464755449762151e+02 1.830422504950000118e+01 -1.034231391524508825e-01 4.325823252449372269e-01 -2.867657701440494700e-01 2.349442276366134064e-01 -6.689829627521400868e-01
2.379549256440714373e+02 1.830422504950000118e+01 1.433683035106306791e+00 5.319395783508672482e-01 5.931286123885650685e-01 -1.143471796314056155e-01 -4.435966261044346215e-01
2.745633757431667163e+02 1.830422504950000118e+01 1.421056281837936641e+00 5.179267693604791001e-01 5.269027062977116316e-01 -4.458447156171498060e-02 3.190229260470188732e-01
3.111718258422619670e+02 1.830422504950000118e+01 9.297109520427926377e-01 4.535460034301113108e-01 4.658736949353462498e-01 3.839852435696421151e-02 4.540073237023507513e-01
3.477802759413572176e+02 1.830422504950000118e+01 -2.891967245247472618e-01 4.714249822041149396e-01 -7.583512938245211277e-02 6.049611033884175204e-02 1.096683229404758375e+00
3.843887260404524682e+02 1.830422504950000118e+01 -2.185414312034124951e+00 4.847597146806548185e-01 -1.151624642869303328e+00 -8.044084374179968910e-02 4.143751002487356949e-01
4.209971761395477188e+02 1.830422504950000118e+01 -1.539917211869218594e+00 4.942986573486510271e-01 -5.990053727500029845e-01 -2.201032819417438335e-01 -5.973801016132345154e-01
4.576056262386429125e+02 1.830422504950000118e+01 -1.584458894362699155e-01 4.403728686794032843e-01 1.100145272522442680e-01 1.445388359774572515e-02 -4.431234163995806385e-01
4.942140763377381631e+02 1.830422504950000118e+01 -3.100203066399187524e-02 4.380949549071837534e-01 2.323218325353494651e-02 3.262257106828214126e-01 -8.740907732505641403e-02
5.308225264368334138e+02 1.830422504950000118e+01 1.575314907239019346e-01 4.843096154210838611e-01 7.799420882538665029e-04 2.918254487277608389e-01 -4.254168568320370603e-01
5.674309765359287212e+02 1.830422504950000118e+01 9.645798466783526148e-01 4.457173362169776221e-01 4.582705026205052268e-01 1.158482691315774055e-01 -2.488819075017109916e-01
6.040394266350239150e+02 1.830422504950000118e+01 6.020659880999502667e-01 5.527105913114451763e-01 9.540510367558366345e-02 -1.262054100611391116e-01 1.592209012932592205e-01
6.406478767341191087e+02 1.830422504950000118e+01 4.275579219415205356e-01 5.638766630620387632e-01 -9.411037451496309658e-03 -2.626725200313834163e-01 -1.415481622829987129e-01
6.772563268332144162e+02 1.830422504950000118e+01 1.263353695286458800e+00 4.600385845339930446e-01 6.346490484025046896e-01 -1.158594629820449418e-01 -7.240396115311821534e-02
7.138647769323096099e+02 1.830422504950000118e+01 7.111119759197148671e-01 5.249605067981665263e-01 3.699241669198696236e-01 -1.182785451218507505e-01 6.910036954408478316e-01
7.504732270314049174e+02 1.830422504950000118e+01 -1.496173778001278487e+00 4.815448070000212244e-01 -8.036348306855509716e-01 -4.987781652917978523e-03 9.537976162642575195e-01
7.870816771305001112e+02 1.830422504950000118e+01 -2.167324971375125031e+00 4.878795842504155544e-01 -1.133286159481799782e+00 3.424079408614879028e-01 -3.355273709146829875e-01
8.236901272295954186e+02 1.830422504950000118e+01 -4.713510582599620413e-01 5.250284893336184533e-01 -1.602700241694244299e-01 2.338857088870221479e-01 -8.667023496822693351e-01
8.602985773286906124e+02 1.830422504950000118e+01 1.708680784007449827e+00 5.595807698254142704e-01 8.159753625498216145e-01 -5.880304950529844504e-02 -4.693966670072885483e-01
8.969070274277858061e+02 1.830422504950000118e+01 9.972173189942523663e-01 4.555811281491597420e-01 5.753533376702383295e-01 -1.929095123223661112e-01 1.321547753402339875e+00
9.335154775268811136e+02 1.830422504950000118e+01 -2.305099137310133717e+00 4.467455802288101685e-01 -1.538501988414914257e+00 -4.251050984300045257e-03 6.563468451421335947e-01
9.701239276259763074e+02 1.830422504950000118e+01 -1.119152163017640422e+00 4.682925902789677464e-01 -7.831933811315689997e-01 1.413835537431135277e-02 -1.328278799143182587e+00
1.006732377725071615e+03 1.830422504950000118e+01 1.340764292533134894e+00 4.850984886458571399e-01 8.013614591874181903e-01 4.063625352362006289e-03 -5.458353362972349077e-01
1.043340827824166809e+03 1.830422504950000118e+01 9.739053819282178504e-01 4.472677154994324500e-01 3.189979125118435621e-01 -1.644375360798425167e-01 1.745542951869618331e-01
1.079949277923262116e+03 1.830422504950000118e+01 7.055703592086992604e-01 5.287164242705600925e-01 1.163147512099961256e-01 -5.766268760658364856e-02 4.976180919827307564e-02
1.116557728022357423e+03 1.830422504950000118e+01 6.236213595826467504e-01 5.477558263025390506e-01 1.634475237885137933e-01 9.222717490652904138e-02 1.344749947152435454e-01
1.153166178121452504e+03 1.830422504950000118e+01 8.025515706506697322e-02 4.598959626221651442e-01 3.804461753776215704e-02 1.361900164085825815e-01 4.929622775634517895e-01
1.189774628220547811e+03 1.830422504950000118e+01 -6.858143776976153294e-01 5.624347423771397514e-01 -3.032353897455045688e-01 8.793577920560614186e-03 1.355880690995944771e-01
1.226383078319643118e+03 1.830422504950000118e+01 -4.342346567951116398e-01 5.180370207051199216e-01 -8.450845857439917563e-02 -2.420758513073882623e-02 -1.326517500552085171e-03
1.262991528418738199e+03 1.830422504950000118e+01 -6.684132463701153437e-01 5.611119955256469449e-01 -2.401844230221030219e-01 1.365848973042582681e-01 4.479241829474941983e-02
1.299599978517833506e+03 1.830422504950000118e+01 -3.176794743823408984e-01 4.747690615122937552e-01 -1.443234622696704383e-01 2.203298046752862338e-01 -3.730564510976959181e-01
1.336208428616928813e+03 1.830422504950000118e+01 1.573323350048312363e-01 4.856893241840531950e-01 1.306431567300433694e-01 -2.208840226906874996e-02 -8.225582502183120814e-02
1.372816878716024121e+03 1.830422504950000118e+01 9.905508353187747472e-02 4.660026225928153298e-01 -3.069388712417906590e-02 -3.028581461678589992e-01 -1.710585564671103509e-01
1.409425328815119201e+03 1.830422504950000118e+01 4.563557849249574305e-01 5.661556905880485990e-01 1.614766416702946850e-01 -2.604186035274645428e-01 -3.719148170547843801e-02
1.446033778914214508e+03 1.830422504950000118e+01 2.570119150805375563e-01 5.183610247255366899e-01 4.379376220130034442e-02 -4.763905196780195833e-02 9.657931280352149983e-02
