# t = 0
# x y z vof velocityx velocityy velocityz
1.830422504950000118e+01 1.830422504950000118e+01 -5.502677821350734355e-01 5.493557197062315378e-01 -5.506233158928808963e-02 1.161701041290725545e-01 -4.227419539828383144e-01
5.491267514859524113e+01 1.830422504950000118e+01 4.978870865588147510e-02 4.533289719297394216e-01 9.372459019263636171e-02 4.940181293890291009e-02 -2.454664013063868055e-01
9.152112524769049173e+01 1.830422504950000118e+01 3.550596203932440131e-01 5.495054697837451485e-01 1.630554188724108455e-01 -1.325856851566854788e-01 -1.824168536330256774e-01
1.281295753467857139e+02 1.830422504950000118e+01 3.688098778213545481e-01 5.530632160311244050e-01 1.983740292993761423e-01 -2.193246182109801212e-01 1.667554879899666442e-01
1.647380254458809645e+02 1.830422504950000118e+01 -4.454908705735816099e-01 5.209843430068373804e-01 -2.216489228072246742e-01 6.622964769432439225e-02 8.494270641126300259e-02
2.013464755449762151e+02 1.830422504950000118e+01 -1.092526686701563721e-01 4.363706988221017768e-01 -2.867313575651022073e-01 2.349447740874212598e-01 -6.687899951996010284e-01
2.379549256440714373e+02 1.830422504950000118e+01 1.440007852652743114e+00 5.288958988854782772e-01 5.896115156121991552e-01 -1.136905723319414224e-01 -4.412334853439567883e-01
2.745633757431667163e+02 1.830422504950000118e+01 1.418343938426610773e+00 5.191832876495630078e-01 5.279723268311763418e-01 -4.465638660028099088e-02 3.197367275959627220e-01
3.111718258422619670e+02 1.830422504950000118e+01 9.308887820140507863e-01 4.526695992203432217e-01 4.658206171371019333e-01 3.840638311505473190e-02 4.540099756030730460e-01
3.477802759413572176e+02 1.830422504950000118e+01 -2.908169436321794699e-01 4.662199980397255805e-01 -7.613025633810793780e-02 6.051403038777730670e-02 1.096707176676387174e+00
3.843887260404524682e+02 1.830422504950000118e+01 -2.185830999675060671e+00 4.849488895875710970e-01 -1.151615321055119434e+00 -8.045367582282447749e-02 4.142821214765373683e-01
4.209971761395477188e+02 1.830422504950000118e+01 -1.536490275655313376e+00 4.905768069476573734e-01 -6.985744057943056307e-01 -2.545994527178824240e-01 -6.832149573893900874e-01
4.576056262386429125e+02 1.830422504950000118e+01 -1.582167920675237593e-01 4.402161561745551177e-01 1.100026626668005741e-01 1.444129267163263806e-02 -4.431374423311418842e-01
4.942140763377381631e+02 1.830422504950000118e+01 -3.387789543742464327e-02 4.398039549950431004e-01 2.320323015865456348e-02 3.262102473424375315e-01 -8.742498007008962790e-02
5.308225264368334138e+02 1.830422504950000118e+01 1.569775956852504928e-01 4.845614802116799957e-01 7.456666108556645259e-04 2.918349395727174445e-01 -4.253165759199291629e-01
5.674309765359287212e+02 1.830422504950000118e+01 9.638623830498771472e-01 4.462342925817830430e-01 4.582457728548567921e-01 1.158489648035655739e-01 -2.489241021627483230e-01
6.040394266350239150e+02 1.830422504950000118e+01 6.019511053002372103e-01 5.530699957086633312e-01 7.723299681990114518e-02 -1.129470605163207658e-01 1.373717878900310163e-01
6.406478767341191087e+02 1.830422504950000118e+01 4.320101138335816771e-01 5.612048792378094841e-01 -9.417905631346199999e-03 -2.614319853837965280e-01 -1.408545781292514509e-01
6.772563268332144162e+02 1.830422504950000118e+01 1.259969000081590851e+00 4.617497589922707757e-01 6.345795968018517197e-01 -1.158838246537397532e-01 -7.238383651478659531e-02
7.138647769323096099e+02 1.830422504950000118e+01 7.130265353199631839e-01 5.256483213634846052e-01 3.641606982797020442e-01 -1.212137370023557426e-01 6.995529060835634638e-01
