# t = 999.989
# x y z vof velocityx velocityy velocityz
1.830422504950000118e+01 1.830422504950000118e+01 -6.789012144731803033e-01 5.043557221748222741e-01 -5.352385818787340765e-01 1.640443101066020870e-01 5.894024348470330160e-02
5.491267514859524113e+01 1.830422504950000118e+01 2.606879439489453443e-01 4.701840053440463629e-01 -4.293488880543903652e-01 3.464618214187190764e-02 -1.260711201961609129e+00
9.152112524769049173e+01 1.830422504950000118e+01 3.405984430130055696e+00 4.942199967817638706e-01 1.648784473973620379e+00 -3.227917974184260456e-03 -7.287590560026908637e-01
1.281295753467857139e+02 1.830422504950000118e+01 2.145632481305084660e+00 4.608850674472290132e-01 8.976501560774663435e-01 -2.406977717446091500e-02 1.768272110763853266e+00
1.647380254458809645e+02 1.830422504950000118e+01 -1.208576027157603816e+00 5.229322608567530395e-01 -7.117897734188418646e-01 -2.708235537432815421e-01 1.190763251350648755e+00
2.013464755449762151e+02 1.830422504950000118e+01 -2.402380058874466595e+00 5.151339129062807443e-01 -1.028193816934661164e+00 -1.616992284664127422e-01 3.771910155718259383e-01
2.379549256440714373e+02 1.830422504950000118e+01 -2.293198538611310955e+00 5.568414790756665012e-01 -1.103710411005447645e+00 1.526064863120084047e-01 -5.608404072089941961e-01
2.745633757431667163e+02 1.830422504950000118e+01 1.001042325480621109e-01 5.239416139025820929e-01 1.482282370495086599e-01 1.307488907092225205e-01 -1.406698291574463022e+00
3.111718258422619670e+02 1.830422504950000118e+01 8.121125403124166420e-01 5.363223156452807672e-01 5.967234668616961946e-01 7.800754098785421531e-02 4.212733350622571704e-01
3.477802759413572176e+02 1.830422504950000118e+01 -1.056957614013352975e-01 4.059024425231529953e-01 -4.785001167068846373e-01 1.208855661657731312e-01 -4.165856968397612659e-01
3.843887260404524682e+02 1.830422504950000118e+01 1.482127007654982620e+00 4.535233171449821743e-01 6.252302935687084062e-01 6.654922748847184877e-02 -7.097805462212312122e-01
4.209971761395477188e+02 1.830422504950000118e+01 1.228413934407931674e+00 6.269310885631218522e-01 6.119819466525400209e-01 4.349845047554916355e-02 9.740394396696337997e-01
4.576056262386429125e+02 1.830422504950000118e+01 -7.673317593412178894e-01 3.304029287501210055e-01 -4.840858817492052490e-01 -7.505298275493170468e-03 5.900085500084759627e-01
4.942140763377381631e+02 1.830422504950000118e+01 -1.123889960227792528e+00 5.095239551566365099e-01 -5.524229612516832200e-01 -1.438501748959426230e-01 -1.269972682612389159e-01
5.308225264368334138e+02 1.830422504950000118e+01 -5.416146012857780967e-01 5.500805483405390994e-01 -2.967839584734406344e-01 -2.398753967395557685e-01 -5.284711985706057602e-01
5.674309765359287212e+02 1.830422504950000118e+01 6.961772033602097176e-01 5.625146988179436924e-01 8.739765094214446695e-02 -1.330489442697993796e-01 -6.546465449311744678e-01
6.040394266350239150e+02 1.830422504950000118e+01 1.248911501289426518e+00 7.422543973592869992e-01 9.099342561697727483e-01 -4.340379184366164461e-02 2.716681383435399777e-01
6.406478767341191087e+02 1.830422504950000118e+01 9.164012446322189476e-02 4.314908313511823801e-01 -1.596921206296419982e-01 3.708566042134092688e-02 7.158578169765094090e-01
6.772563268332144162e+02 1.830422504950000118e+01 -4.995893587452169271e-01 4.555179190590368243e-01 -3.515509513298360478e-01 3.698059028106851498e-01 -2.893966408446418254e-02
7.138647769323096099e+02 1.830422504950000118e+01 1.288005719459270892e-01 6.477178235231088044e-01 1.886963839461109071e-01 2.065378859875505180e-01 -1.410339236000199004e-01
7.504732270314049174e+02 1.830422504950000118e+01 -6.395661158157810444e-01 5.319317342321939757e-01 -1.159577934986084496e-01 1.685519172397449347e-02 7.644517858700702329e-01
7.870816771305001112e+02 1.830422504950000118e+01 -1.359122757887408994e+00 1.291588134743916205e-01 -1.279208808813836917e+00 1.738830707948613510e-02 -1.654766506875943455e-01
8.236901272295954186e+02 1.830422504950000118e+01 -4.298179686264398391e-01 7.488262487753385432e-01 1.871976404202821131e-01 1.266903798817743503e-02 -4.475647577019981060e-01
8.602985773286906124e+02 1.830422504950000118e+01 -2.511082855724969809e-01 2.244459270338310386e-01 -5.703711976982300813e-01 -5.975262614903009695e-02 -1.826835581994480928e-01
8.969070274277858061e+02 1.830422504950000118e+01 2.413515855185659476e-01 6.791619583017649564e-01 1.035967572099706913e-01 -6.535183359175281148e-02 -7.368417099291411088e-01
9.335154775268811136e+02 1.830422504950000118e+01 1.326025102067359462e+00 5.606248151599753093e-01 4.065543104391602935e-01 8.712654125004179462e-02 -3.759494237364756075e-01
9.701239276259763074e+02 1.830422504950000118e+01 1.743987154680854523e+00 7.082432071708378851e-01 7.290544699665902906e-01 9.886352096028405700e-02 7.808232501826682659e-02
1.006732377725071615e+03 1.830422504950000118e+01 1.212267535329995427e+00 4.160992762585296045e-01 3.680088347193806175e-01 -2.547918523986129058e-01 6.469172403159826334e-01
