# t = 999.989
# x y z vof velocityx velocityy velocityz
1.830422504950000118e+01 1.830422504950000118e+01 -6.786791664949061165e-01 5.041630475277865120e-01 -5.353131584200987447e-01 1.640487039940823066e-01 5.902740526368574492e-02
5.491267514859524113e+01 1.830422504950000118e+01 2.612742313412386164e-01 4.694148211162668116e-01 -4.293683028297058391e-01 3.464680531100920724e-02 -1.260742292098866013e+00
9.152112524769049173e+01 1.830422504950000118e+01 3.407546962885066755e+00 4.928430589944359230e-01 1.648874532104534385e+00 -3.229003727646988491e-03 -7.288279635676885304e-01
1.281295753467857139e+02 1.830422504950000118e+01 2.152188904425880178e+00 4.538095207910751716e-01 8.980241701269329191e-01 -2.402211253219243420e-02 1.768717717910923692e+00
1.647380254458809645e+02 1.830422504950000118e+01 -1.221952079141846337e+00 5.362560803641309715e-01 -7.223107219931579337e-01 -2.788227131437756579e-01 1.192164394083277790e+00
2.013464755449762151e+02 1.830422504950000118e+01 -2.411446183949914168e+00 5.236732654653624142e-01 -1.034432180760811226e+00 -1.685129199980926473e-01 3.773331332392055870e-01
2.379549256440714373e+02 1.830422504950000118e+01 -2.296542865379531229e+00 5.610958385286562988e-01 -1.104355952975056843e+00 1.528229601169660556e-01 -5.610270002855224369e-01
2.745633757431667163e+02 1.830422504950000118e+01 8.363325628836093539e-02 5.447267674651756764e-01 1.451357564353615293e-01 1.312176274891528049e-01 -1.406778398241467887e+00
3.111718258422619670e+02 1.830422504950000118e+01 8.723902575151559757e-01 4.545634810279108873e-01 6.102030996093104065e-01 7.750335631131442804e-02 4.251204844497434854e-01
3.477802759413572176e+02 1.830422504950000118e+01 -1.569172687447775438e-01 4.585597851742740927e-01 -4.778738559926835050e-01 1.207073374560798523e-01 -4.153805005711879161e-01
3.843887260404524682e+02 1.830422504950000118e+01 1.491369788026928545e+00 4.411554073533068276e-01 6.243521627407716545e-01 6.660789023015717403e-02 -7.106928444081951346e-01
4.209971761395477188e+02 1.830422504950000118e+01 1.286243531275476748e+00 5.469531899890673898e-01 5.945340272952248650e-01 4.035835405676383575e-02 9.845514764326372958e-01
4.576056262386429125e+02 1.830422504950000118e+01 -8.493075730484529462e-01 4.397036464782869691e-01 -4.955148830492693834e-01 -1.093243348630395725e-02 5.903803365996154184e-01
4.942140763377381631e+02 1.830422504950000118e+01 -1.164804362312484187e+00 5.568713260601791948e-01 -5.565598112346523685e-01 -1.481326469099772392e-01 -1.275504614824974070e-01
5.308225264368334138e+02 1.830422504950000118e+01 -5.515557199174522252e-01 5.623979559806058237e-01 -2.949827360196217718e-01 -2.400370903253616350e-01 -5.285112098960254023e-01
5.674309765359287212e+02 1.830422504950000118e+01 7.085576642931791236e-01 5.442866572392925928e-01 7.900453300484661101e-02 -1.359054806324509479e-01 -6.546662684815386379e-01
6.040394266350239150e+02 1.830422504950000118e+01 1.450748063163290524e+00 4.450071755960713915e-01 9.696191937695799457e-01 -3.463582136003794110e-02 2.717674511659992631e-01
6.406478767341191087e+02 1.830422504950000118e+01 -2.040039114109876150e-02 5.533752502676499985e-01 -1.589785583563796956e-01 2.124500629804779162e-02 7.157032322717861161e-01
6.772563268332144162e+02 1.830422504950000118e+01 -5.873000468459315115e-01 5.549219971345052960e-01 -3.204307004545299820e-01 3.446913045320427749e-01 -3.097386161541313548e-02
7.138647769323096099e+02 1.830422504950000118e+01 2.587139065717389275e-01 4.458224794740942576e-01 1.710323634746555022e-01 2.675345415319336229e-01 -1.514939620714865209e-01
7.504732270314049174e+02 1.830422504950000118e+01 -6.342261131410403818e-01 5.266900564869667623e-01 -1.185916658310111893e-01 1.646023958917700036e-02 7.643832447719844936e-01
7.870816771305001112e+02 1.830422504950000118e+01 -1.663668023965974241e+00 5.682038317298060415e-01 -1.053189538064086550e+00 1.139850263929223853e-02 -2.030701029049914452e-01
8.236901272295954186e+02 1.830422504950000118e+01 -1.436016624471804781e-01 4.655445940185637399e-01 2.267354788227743945e-01 1.316722366149626448e-02 -4.480464962571978904e-01
8.602985773286906124e+02 1.830422504950000118e+01 -4.767760047062950535e-01 5.545177975933188730e-01 -5.112826130487198029e-01 -1.030875321398923017e-01 -1.871308390178044179e-01
8.969070274277858061e+02 1.830422504950000118e+01 4.572018565884639063e-01 4.748806083911055742e-01 1.099589574409148146e-01 -6.432914111935969514e-02 -7.419840168253842849e-01
9.335154775268811136e+02 1.830422504950000118e+01 1.356962752186718468e+00 5.095133317509643600e-01 3.914057906442945933e-01 8.053679207536479367e-02 -3.758994026856436466e-01
9.701239276259763074e+02 1.830422504950000118e+01 1.854362967192670464e+00 5.525533194534750780e-01 5.843570001510929313e-01 3.655294851480705987e-02 7.872337280821709027e-02
1.006732377725071615e+03 1.830422504950000118e+01 1.099389183871124720e+00 5.209659514143976100e-01 4.836279103225324949e-01 -2.848872338129485593e-01 6.452878989897871120e-01
1.043340827824166809e+03 1.830422504950000118e+01 3.081738594802319042e-03 5.581888321062855596e-01 1.368859435651272327e-01 -1.031558060280001465e-01 7.646837084996775946e-01
1.079949277923262116e+03 1.830422504950000118e+01 -1.343198053628062771e+00 4.486025419178668594e-01 -4.721059948893292502e-01 1.830864059217617579e-01 8.164959065699828322e-01
1.116557728022357423e+03 1.830422504950000118e+01 -2.432362138928657380e+00 5.120228433154025982e-01 -1.021259621958917396e+00 2.876526667026770290e-01 5.152669984832062428e-02
1.153166178121452504e+03 1.830422504950000118e+01 -1.200155667981850804e+00 5.462200609182036315e-01 -4.490408341124464409e-01 2.166698724470171034e-01 -1.196979057837861404e+00
1.189774628220547811e+03 1.830422504950000118e+01 1.517950957391525080e+00 4.300542136332227150e-01 1.164437080750990949e+00 -8.398235071297395493e-02 -5.673650166026187325e-01
1.226383078319643118e+03 1.830422504950000118e+01 -2.103009487690422896e-01 4.409064993508776675e-01 1.047544733727036048e-01 -2.805602071014542953e-01 1.109226222342256429e+00
1.262991528418738199e+03 1.830422504950000118e+01 -1.511474443096373355e+00 4.694718069881570477e-01 -1.086712911205065524e+00 -2.115098958991992184e-01 -5.490531686426944891e-01
1.299599978517833506e+03 1.830422504950000118e+01 5.619074346374739459e-01 5.459876653604495145e-01 2.537142635222828790e-01 1.182574030000401177e-01 -1.063188495076952345e+00
1.336208428616928813e+03 1.830422504950000118e+01 2.002909695372735666e+00 4.632467361523243676e-01 8.711002349793991462e-01 5.063925023229626232e-01 -4.511589710275019649e-01
1.372816878716024121e+03 1.830422504950000118e+01 1.798711671686771485e+00 5.579802932012608574e-01 7.526603010727108689e-01 1.320500315146522496e-01 7.138567580912499322e-01
1.409425328815119201e+03 1.830422504950000118e+01 2.959985081829968889e-02 5.660423610415413753e-01 -9.426231650961500175e-03 -7.871555370491678527e-02 8.765840831829000424e-01
1.446033778914214508e+03 1.830422504950000118e+01 -8.588379139064576950e-01 4.364048416464147984e-01 -2.826455922633712148e-01 -1.312282782634003053e-01 4.277139041459504520e-01
1.482642229013309816e+03 1.830422504950000118e+01 -8.420570324975400478e-01 4.420862770138085374e-01 -4.579572307507971951e-01 -2.355538923461811818e-01 -3.177238817888780043e-01
1.519250679112404896e+03 1.830422504950000118e+01 1.461219523053115532e-01 5.295226175529785806e-01 2.107492044226022543e-01 8.810307841396226858e-02 1.623286925603029118e-01
1.555859129211500203e+03 1.830422504950000118e+01 -1.555716139255278518e+00 4.978075209070275120e-01 -8.952793000708113569e-01 4.902255698231235137e-02 5.568405594901041367e-01
1.592467579310595511e+03 1.830422504950000118e+01 -1.002456473965482875e+00 5.193325265036614624e-01 -5.520579483164369528e-01 1.437218283132090380e-01 -9.543433497453530645e-01
1.629076029409690818e+03 1.830422504950000118e+01 3.835403432862781736e-01 4.364230232864936276e-01 5.651991787296281045e-01 6.917571526737483767e-01 -1.422656143960699671e-01
1.665684479508785898e+03 1.830422504950000118e+01 1.351839208208984733e-01 5.503257710070517117e-01 -2.511325331719011511e-01 9.143798145706795444e-02 -3.651687888947641181e-01
1.702292929607881206e+03 1.830422504950000118e+01 8.301998954698995847e-01 4.613767260282687355e-01 7.308486061738515005e-01 -2.269256034608720385e-01 3.100603569265811821e-01
1.738901379706976513e+03 1.830422504950000118e+01 -1.091749289859558658e+00 5.658141636131603924e-01 -8.012503108092227100e-01 -2.507833127039401644e-01 3.795176610489542357e-01
1.775509829806071593e+03 1.830422504950000118e+01 -2.184155729276934799e-01 4.411263664320014266e-01 -2.108070153955846904e-01 3.230369591370631926e-02 -1.095005691529060909e+00
1.812118279905166901e+03 1.830422504950000118e+01 1.755642065624698045e+00 5.440467223764176019e-01 6.784466113878212523e-01 2.214581383085360566e-01 -7.903196007100767861e-01
1.848726730004262208e+03 1.830422504950000118e+01 3.042652360962759150e+00 5.430567866168867219e-01 1.348480049962108351e+00 1.447670360795062505e-01 2.492072171989376805e-01
1.885335180103357516e+03 1.830422504950000118e+01 3.630740533402119219e-01 4.490380454725865222e-01 1.910035960948276990e-01 5.912548696262458908e-02 1.692193708536356977e+00
1.921943630202452596e+03 1.830422504950000118e+01 -1.249327035279428566e+00 5.192874964459199827e-01 -6.813274992486849646e-01 -2.488954902605067243e-01 3.390144394359488889e-01
1.958552080301547903e+03 1.830422504950000118e+01 -1.388001789000689490e+00 4.345215460843583344e-01 -3.797997880139633575e-01 -2.362632296625191697e-01 4.450973560493559078e-01
1.995160530400643211e+03 1.830422504950000118e+01 -1.980483878550650223e+00 4.071285166443844306e-01 -9.499214194711177450e-01 2.620681550498660251e-04 -1.798108430812665193e-01
2.031768980499738518e+03 1.830422504950000118e+01 -1.302155075981476617e+00 4.963977284195525419e-01 -5.707890938174630113e-01 -4.911469928637594677e-03 -5.338525471823546420e-01
2.068377430598833598e+03 1.830422504950000118e+01 -4.023029921297360811e-01 5.038991062117808006e-01 -3.491262453808727240e-01 3.554255764214449276e-02 -8.599488276986478885e-01
2.104985880697928678e+03 1.830422504950000118e+01 1.346828744260390565e+00 5.139059320990213564e-01 6.442675471284093902e-01 -1.271563301201268092e-01 -6.665330505000442995e-01
2.141594330797024213e+03 1.830422504950000118e+01 1.483327128609043699e+00 4.395796297650407247e-01 8.553108427265122549e-01 -1.743444349445295305e-01 1.907848904931421230e-01
2.178202780896119293e+03 1.830422504950000118e+01 7.545498996038842998e-01 5.178772445402430868e-01 2.941187175677643095e-01 1.623896958438706684e-01 5.069291503994587389e-01
2.214811230995214828e+03 1.830422504950000118e+01 -4.694133278455989711e-01 5.649855972515459568e-01 -2.985638044239238842e-01 3.649645406499534700e-02 6.161778575731362562e-01
2.251419681094309908e+03 1.830422504950000118e+01 -1.132607054995885765e+00 5.650789991869888951e-01 -6.978653979087399151e-01 -2.147905391221391347e-01 -1.767430020075593522e-01
2.288028131193404988e+03 1.830422504950000118e+01 1.684694837054730998e-01 5.240772189992664032e-01 -1.252598918718511034e-01 -2.566252989918486049e-01 -7.279295355264570055e-01
2.324636581292500523e+03 1.830422504950000118e+01 1.169771496011341227e+00 5.346205970066718605e-01 5.092885475171128329e-01 5.246476257104767948e-02 -1.383702820245087950e-01
2.361245031391595603e+03 1.830422504950000118e+01 4.937476332728592543e-01 5.008339329158744135e-01 3.967290720835416895e-01 -1.643246650011263160e-02 7.498599947267563515e-01
2.397853481490690683e+03 1.830422504950000118e+01 -1.065895356513651082e+00 5.495479496155541987e-01 -8.134951068372154870e-01 8.188844400577170723e-02 2.267866781870842008e-01
2.434461931589786218e+03 1.830422504950000118e+01 -1.753559436037755437e-01 4.496327195774528773e-01 2.906724794672323892e-02 8.561452921118366255e-02 -5.937030705870114389e-01
