ZONE T = " 0.00000E+00", I=  129, J=  256
 0.00000000E+00 -8.51456140E-02  1.47825030E-18  7.62232850E-18 -1.56535598E+01 -1.56535598E+01
 6.70437905E-04 -8.51456140E-02  6.04646583E-18  7.62890729E-17 -1.56535598E+01 -1.56535598E+01
 1.34087581E-03 -8.51456140E-02  2.07271668E-18  5.74410351E-17 -1.56535598E+01 -1.56535598E+01
 2.01131372E-03 -8.51456140E-02  2.24050641E-18  1.01984884E-16 -1.56535598E+01 -1.56535598E+01
 2.68175162E-03 -8.51456140E-02  2.89329087E-18  4.77673605E-17 -1.56535598E+01 -1.56535598E+01
 3.35218953E-03 -8.51456140E-02  1.34635651E-18  7.24696760E-17 -1.56535598E+01 -1.56535598E+01
 4.02262743E-03 -8.51456140E-02  3.18882426E-18  4.66934646E-17 -1.56535598E+01 -1.56535598E+01
 4.69306534E-03 -8.51456140E-02  3.22141558E-18  3.78625929E-17 -1.56535598E+01 -1.56535598E+01
 5.36350324E-03 -8.51456140E-02  1.09349408E-18  1.40360939E-17 -1.56535598E+01 -1.56535598E+01
 6.03394115E-03 -8.51456140E-02  4.89027698E-18  8.75233043E-18 -1.56535598E+01 -1.56535598E+01
 6.70437905E-03 -8.51456140E-02  3.00193139E-18  6.23904370E-17 -1.56535598E+01 -1.56535598E+01
 7.37481696E-03 -8.51456140E-02  4.42993884E-18  3.04035695E-17 -1.56535598E+01 -1.56535598E+01
 8.04525487E-03 -8.51456140E-02  4.83416591E-18  5.60477404E-17 -1.56535598E+01 -1.56535598E+01
 8.71569277E-03 -8.51456140E-02  1.40722003E-18  7.43432629E-17 -1.56535598E+01 -1.56535598E+01
 9.38613068E-03 -8.51456140E-02  7.58041519E-19  5.79933521E-17 -1.56535598E+01 -1.56535598E+01
 1.00565686E-02 -8.51456140E-02  3.07658621E-18  2.38063441E-17 -1.56535598E+01 -1.56535598E+01
