# t = 1000
# x y z vof velocityx velocityy velocityz
1.830422504950000118e+01 1.830422504950000118e+01 -6.746424267668995611e-01 4.410102762878154170e-01 -4.822712472678717388e-01 1.687797543693402846e-01 3.125049699395344993e-02
5.491267514859524113e+01 1.830422504950000118e+01 2.037900492012052478e-01 4.583319010411949224e-01 -4.970166256879684497e-01 3.346213355371323306e-02 -1.328219487354295847e+00
9.152112524769049173e+01 1.830422504950000118e+01 3.410930661886447890e+00 4.768333682239704885e-01 1.582120387639553538e+00 4.435437307423777814e-03 -7.861788100291879910e-01
1.281295753467857139e+02 1.830422504950000118e+01 2.228681427581309382e+00 5.521353188640700793e-01 8.067167366281530194e-01 -6.195384372415808916e-02 1.824000757491130109e+00
1.647380254458809645e+02 1.830422504950000118e+01 -1.355230811542877278e+00 4.851664341080434983e-01 -7.038647697901954103e-01 -2.466057769042816483e-01 1.214430929918786983e+00
2.013464755449762151e+02 1.830422504950000118e+01 -2.435166133227042451e+00 5.601403400593314430e-01 -1.992242209800498376e+00 -1.557804488107108476e-01 4.289664952026125966e-01
2.379549256440714373e+02 1.830422504950000118e+01 -2.237365983067770792e+00 5.470646174372743031e-01 -2.381372594242660234e+00 1.564103231438207231e-01 -2.119594200641018999e-01
2.745633757431667163e+02 1.830422504950000118e+01 8.828837195559269269e-02 4.444078334509815598e-01 -8.349155969150295897e-02 1.368676296097939560e-01 -1.458631823846609832e+00
3.111718258422619670e+02 1.830422504950000118e+01 8.923128545469523054e-01 5.057786705040848707e-01 8.142971101755371865e-01 6.249468136035320198e-02 2.968577415761514682e-01
3.477802759413572176e+02 1.830422504950000118e+01 -4.529931256344623680e-01 4.477252920257505098e-01 -8.279665535569136203e-01 1.197915636037429760e-01 -4.435000181920814577e-01
3.843887260404524682e+02 1.830422504950000118e+01 1.709691441108419863e+00 5.531568594802828143e-01 5.624240068397290404e-01 6.428246637800887064e-02 -6.171322175107115671e-01
4.209971761395477188e+02 1.830422504950000118e+01 1.252491118211228827e+00 5.335251893910265553e-01 6.592875076328232886e-01 1.779075389919106132e-01 9.131632116543104694e-01
4.576056262386429125e+02 1.830422504950000118e+01 -8.594638979233369946e-01 4.518211306403010497e-01 -3.332553264273134808e-01 2.448963582073180878e-01 7.493340538638558757e-01
4.942140763377381631e+02 1.830422504950000118e+01 -1.274126583857148720e+00 4.758354341789184927e-01 -1.323221662544996402e+00 8.051628102768847162e-02 -1.442072687338974701e-01
5.308225264368334138e+02 1.830422504950000118e+01 -6.523951138510365455e-01 4.426802221930629111e-01 -3.761275364620959571e-01 -2.161152419126066149e-01 -5.277095117546930503e-01
5.674309765359287212e+02 1.830422504950000118e+01 5.519667472793390317e-01 4.791277520037872106e-01 3.659783598646520475e-01 -1.164281079437132771e-01 -6.978058537958289342e-01
6.040394266350239150e+02 1.830422504950000118e+01 1.466727459199013595e+00 5.406950436127762050e-01 5.753184497000972675e-01 -7.574996514149612281e-02 1.040176539245164372e-01
6.406478767341191087e+02 1.830422504950000118e+01 1.694422274253908345e-01 4.561004205157792590e-01 3.517976312650128445e-01 -1.297578084299988721e-01 7.134812922163874527e-01
6.772563268332144162e+02 1.830422504950000118e+01 -7.444918327520171353e-01 4.452675394017653332e-01 -4.302533999885373994e-01 4.173096211979731018e-01 1.377816287858815714e-01
7.138647769323096099e+02 1.830422504950000118e+01 -7.470156762944268891e-03 4.436772673238827958e-01 5.676466310648460301e-01 1.144887645800107268e-01 -2.403168794607390968e-01
7.504732270314049174e+02 1.830422504950000118e+01 -3.703534839780424637e-01 4.342063658258742409e-01 6.401748044167687723e-01 -1.647325472590051854e-01 5.610499579797376679e-01
7.870816771305001112e+02 1.830422504950000118e+01 -1.598062914676747326e+00 5.056666982749717931e-01 -2.112996101331444443e+00 -2.785105510841953680e-01 6.810792438596044995e-01
8.236901272295954186e+02 1.830422504950000118e+01 -4.740225780781481824e-01 4.299131551800088324e-01 6.915786018215952513e-02 -1.613705554083416649e-01 -7.392677933867116691e-01
8.602985773286906124e+02 1.830422504950000118e+01 -3.192087083852277463e-01 4.422257650448393473e-01 9.992853079844507547e-02 -1.927035546450763248e-01 -1.568004392290075766e-01
8.969070274277858061e+02 1.830422504950000118e+01 2.497123415661910428e-01 4.576660820292417498e-01 2.256348244337581244e-01 -1.034802901123041269e-01 -7.253605903320156090e-01
