# t x y z velocityx velocityy velocityz
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.573530360512222614e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.052550000000000055e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.310279535702694075e-06 5.377196376496889973e-03 6.968635163059238537e-15 1.975706494587832962e-04
7.717939999999999523e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.614841061164125805e-05 4.430282602615101713e-03 -4.797698865439063433e-10 2.416147163233861540e-04
1.271789999999999865e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.016202619745027933e-04 8.379661854746656754e-04 5.554060599722916334e-05 6.146070925616563436e-04
1.771790000000000032e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.670049521449237795e-05 5.701154994136919729e-05 -1.527289178305551781e-03 2.746778112775833010e-03
2.271789999999999921e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.707733415557827389e-05 2.876841037737045467e-03 -1.136236702361926318e-03 -2.603339514012446843e-03
2.771790000000000087e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.431423182190349289e-06 3.032975733274152156e-03 -3.923309288294329206e-03 5.757962061331764470e-04
3.271789999999999976e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.220310187946514746e-04 -1.773007747476566592e-03 -2.234823345111737513e-04 1.599605869318763171e-04
3.771789999999999865e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.173159259635629166e-04 -3.340374927178959164e-03 -2.303678896148388924e-04 1.909169870081256666e-03
4.271789999999999754e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.268001647158206735e-04 -9.528626753282544307e-04 2.509554056152477411e-03 8.459789662942843527e-03
4.771790000000000198e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.332567540301513866e-04 -9.622501971708415439e-03 6.024412109324839802e-03 1.028988325184578001e-02
5.271789999999999532e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.978678311971881716e-04 2.203275358617291010e-03 -1.716828940981579002e-03 4.877140675605583708e-04
5.771789999999999976e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.079162006447914014e-04 1.449594984102630865e-02 9.601903385201423450e-04 -5.442224644969773616e-03
6.271790000000000420e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.633399411772128465e-04 1.903715510167489078e-02 8.504618184286757976e-03 -3.447922162304139712e-03
6.771789999999999754e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.534654146849806629e-04 1.504687486732663240e-02 7.121389731294369349e-03 -2.131752603785463246e-03
7.271790000000000198e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.536898024227316980e-04 6.553420597761431404e-03 -5.961172559293235898e-04 2.518871976542347855e-04
7.771789999999999532e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.322081783790106334e-04 -2.760126496918674510e-03 -8.081774164981722630e-03 1.478473924103434513e-03
8.271789999999999976e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.254623321213199614e-04 -7.365870551235613635e-03 -1.047161109517215881e-02 3.869804530676652921e-04
8.771790000000000420e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.787609520211012792e-04 -4.765675693637183748e-03 -8.196786239123845033e-03 7.125920357676828257e-04
9.271789999999999754e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.535638442169028449e-04 2.098864003323845737e-03 -2.761331914080622941e-03 -6.301981113983855243e-05
9.771790000000000198e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.043393431000864974e-04 7.857451145279342047e-03 1.039023877994281475e-03 -4.495833815417946133e-06
1.027179999999999982e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.594385764546919614e-04 1.006242899284800867e-02 1.973127064863833789e-03 8.979730996536779315e-05
1.077180000000000026e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.124658869544411161e-04 9.329167480560403292e-03 6.246721082136207342e-04 6.611767341350141460e-04
1.127180000000000071e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.907735348413912676e-04 7.000844216045760265e-03 -7.132531264501689762e-04 1.326563153396264228e-03
1.177179999999999893e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.992778782463919278e-04 4.570157024153640932e-03 -1.692343648980243693e-03 1.584879948343300132e-03
